lda_topic,topic_hits,lda_word,lda_word_prob,hit,word_hit_count,anno_score,topic_anno,anno_w_type,anno_w_mass,anno_w_anno
0,0,,,,,,,,,
,,Loss_181.0948,0.13834874423759574,,,,,,,
,,Frag_200.12773,0.11649982079032906,,,,,,,
,,Frag_225.12263,0.11343684934085375,,,,,,,
,,Loss_84.04195,0.10553153546069906,,,,,,,
,,Frag_128.07043,0.09412640054338664,,,,,,,
,,Loss_134.05703,0.047825706238901401,,,,,,,
,,Frag_273.14557,0.042981254895131861,,,,,,,
,,Frag_56.04984,0.0383302784048732,,,,,,,
,,Frag_81.0335,0.034463684457521272,,,,,,,
,,Loss_36.02101,0.023741463811744353,,,,,,,
,,Frag_291.15548,0.018473021590333455,,,,,,,
,,Frag_130.08598,0.013982255019345375,,,,,,,
,,Loss_148.07346,0.013189076829981872,,,,,,,
,,Loss_18.01047,0.010833699861636955,,,,,,,
1,0,,,,,,,,,
,,Loss_101.04767,0.45041398479516698,,,,,,,
,,Loss_168.09988,0.20078329668586858,,,,,,,
,,Frag_131.11784,0.061921479641259082,,,,,,,
,,Frag_186.07593,0.056847437644083683,,,,,,,
,,Frag_73.06479,0.043373337786565241,,,,,,,
,,Loss_184.09468,0.021316532842526648,,,,,,,
,,Frag_146.09621,0.020338335138763857,,,,,,,
,,Loss_198.07382,0.018146401363612012,,,,,,,
,,Loss_126.08986,0.015325844692132147,,,,,,,
,,Loss_101.08394,0.011628204733711301,,,,,,,
,,Loss_199.08407,0.01031720706309501,,,,,,,
2,2,,,,3,0.51993389135821877,"B_Fragments indicative of a [hexose-H2O] substructure ? i.e., indicative for a hexose (like glucose) conjugation (MzCloud)",,,
,,Frag_127.03885,0.50466556380690764,hit,,,,Frag,85.02895440489999,C4H5O2
,,Loss_194.12626,0.099523479569462101,,,,,Frag,145.05008377766,C6H9O4
,,Frag_99.04393,0.060478540739460657,,,,,Frag,127.03951909128,C6H7O3
,,Loss_134.10527,0.053252133289532419,,,,,Frag,97.02895440489999,C5H5O2
,,Frag_73.06479,0.040022926447331811,,,,,Frag,68.02621475066,C4H4O
,,Loss_130.13109,0.024561719621094949,,,,,Frag,163.06064846404,C6H11O5
,,Frag_109.02819,0.021452036227389306,,,,,,,
,,Loss_152.1158,0.020425644570574077,,,,,,,
,,Loss_182.1262,0.015452258035418118,,,,,,,
,,Frag_70.06512,0.015251146171953313,,,,,,,
,,Frag_163.06037,0.013975040860239513,hit,,,,,,
,,Loss_143.08038,0.012447652498532807,,,,,,,
,,Loss_188.09995,0.012241221610503157,,,,,,,
2,2,,,,2,0.51864060466714712,U_Hexose related Mass2Motif,,,
,,Frag_127.03885,0.50466556380690764,hit,,,,Frag,145.05008377766,C6H9O4
,,Loss_194.12626,0.099523479569462101,,,,,Frag,61.0289544049,C2H5O2
,,Frag_99.04393,0.060478540739460657,,,,,Frag,163.06064846404,C6H11O5
,,Loss_134.10527,0.053252133289532419,,,,,Frag,97.02895440489999,C5H5O2
,,Frag_73.06479,0.040022926447331811,,,,,Frag,91.03951909128,C3H7O3
,,Loss_130.13109,0.024561719621094949,,,,,Frag,127.03951909128,C6H7O3
,,Frag_109.02819,0.021452036227389306,,,,,Frag,73.02895440489999,C3H5O2
,,Loss_152.1158,0.020425644570574077,,,,,Frag,69.0340397828,C4H5O
,,Loss_182.1262,0.015452258035418118,,,,,Frag,81.0340397828,C5H5O
,,Frag_70.06512,0.015251146171953313,,,,,Frag,57.034039782799994,C3H5O
,,Frag_163.06037,0.013975040860239513,hit,,,,,,
,,Loss_143.08038,0.012447652498532807,,,,,,,
,,Loss_188.09995,0.012241221610503157,,,,,,,
3,1,,,,1,0.42472620267509265,B_Fragment ion indicative for conjugation of a phosphate group  (H4O4P),,,
,,Frag_98.98423,0.42472620267509265,hit,,,,Frag,98.98472012895999,H4O4P
,,Loss_102.06789,0.23717786530210502,,,,,,,
,,Loss_148.07346,0.094732737228797992,,,,,,,
,,Loss_97.97703,0.046336559301318268,,,,,,,
,,Frag_124.99951,0.026876727739880792,,,,,,,
,,Loss_85.08912,0.02305946266333634,,,,,,,
,,Loss_176.0683,0.015944195454910992,,,,,,,
,,Frag_127.01575,0.014393611558238159,,,,,,,
,,Loss_113.00032,0.011070053246394131,,,,,,,
4,0,,,,,,,,,
,,Loss_18.01047,0.14851365200578204,,,,,,,
,,Frag_79.0541,0.067300281897076444,,,,,,,
,,Loss_32.02612,0.042497346370514749,,,,,,,
,,Loss_141.04608,0.034021842097599189,,,,,,,
,,Frag_381.07809,0.028854797268172114,,,,,,,
,,Loss_169.04077,0.027910419810087538,,,,,,,
,,Frag_160.0761,0.027459549406258249,,,,,,,
,,Loss_45.03387,0.020875596313719439,,,,,,,
,,Frag_172.07581,0.020098111990935898,,,,,,,
,,Loss_165.11503,0.019405679777586275,,,,,,,
,,Frag_53.03897,0.017508730743874431,,,,,,,
,,Frag_117.05747,0.01360198345001252,,,,,,,
,,Frag_136.11212,0.012619485148562367,,,,,,,
,,Frag_108.08083,0.012578423371488297,,,,,,,
,,Frag_95.0727,0.011419655768375597,,,,,,,
,,Frag_91.05429,0.011294618031018975,,,,,,,
,,Loss_153.11517,0.010921849740421064,,,,,,,
,,Frag_263.12771,0.010882298665941587,,,,,,,
,,Frag_254.21065,0.010561686865047049,,,,,,,
5,0,,,,,,,,,
,,Loss_69.06819,0.24469348487989545,,,,,,,
,,Frag_332.12528,0.17691957119684362,,,,,,,
,,Frag_301.14956,0.086757908457639574,,,,,,,
,,Frag_204.10025,0.073469719944382908,,,,,,,
,,Frag_383.18256,0.056677117655122046,,,,,,,
,,Frag_137.07071,0.044315402543428833,,,,,,,
,,Loss_182.09029,0.030024624359990728,,,,,,,
,,Loss_182.07895,0.025598753143654469,,,,,,,
,,Frag_60.05591,0.023179819345976946,,,,,,,
,,Frag_229.1185,0.022993107513536438,,,,,,,
,,Loss_45.99553,0.019096598860861892,,,,,,,
,,Loss_64.00589,0.018505195312518319,,,,,,,
,,Loss_61.99007,0.013399040969770053,,,,,,,
,,Loss_18.01047,0.012953865740011263,,,,,,,
